AGNO;RBD;DGV_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_ENSE;COD_GRADO;MRUN;PROM_NOTAS_ALU;ORIGEN;ENSE_COMPLETA;MARCA_EGRESO
2021;8676;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;3;25500377;5,1;RENDIMIENTO;0;0
2021;9411;0;13;RM;131;13129;SAN JOAQUÍN;131;SANTIAGO CENTRO;510;4;25503280;4,5;RENDIMIENTO;1;1
2021;9411;0;13;RM;131;13129;SAN JOAQUÍN;131;SANTIAGO CENTRO;310;1;25492232;6;RENDIMIENTO;0;0
2021;280;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;410;3;25500275;5,7;RENDIMIENTO;0;0
2021;10968;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;310;1;25487840;5;RENDIMIENTO;0;0
2021;31345;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;310;2;25501381;4,3;RENDIMIENTO;0;0
2021;367;0;2;ANTOF;21;2102;MEJILLONES;21;ANTOFAGASTA - TOCOPILLA;310;1;25557179;5,4;RENDIMIENTO;0;0
2021;9862;0;13;RM;131;13106;ESTACIÓN CENTRAL;134;SANTIAGO PONIENTE;310;1;25494319;5,1;RENDIMIENTO;0;0
2021;8504;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;1;25485534;4,9;RENDIMIENTO;0;0
2021;10399;0;13;RM;133;13301;COLINA;137;SANTIAGO NORTE;610;4;25496557;5,2;RENDIMIENTO;1;1
2021;8501;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;410;4;25497889;5,3;RENDIMIENTO;1;1
2021;8535;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;2;25499614;6,9;RENDIMIENTO;0;0
2021;8617;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;410;1;25494339;5,6;RENDIMIENTO;0;0
2021;24473;0;13;RM;131;13114;LAS CONDES;133;SANTIAGO ORIENTE;610;2;25486915;5,7;RENDIMIENTO;0;0
